ip,date,method,url,protocol,status,size,referer,user_agent,response_time,host,host_ip,host_port,bytes_sent,request_id
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/annotations?from=1619471716848&to=1619472016848&dashboardId=25,HTTP/2.0,200,2,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,69,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,2,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=probe_http_status_code%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,210,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,122,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,210,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=probe_ssl_earliest_cert_expiry%7Btarget%3D~%22()%22%7D-time()&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,212,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,134,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,212,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=probe_http_ssl%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,204,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,117,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,204,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=probe_success%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,201,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,116,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,201,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=avg(probe_duration_seconds%7Btarget%3D~%22()%22%7D)&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,225,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,127,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,225,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=avg(probe_dns_lookup_time_seconds%7Btarget%3D~%22()%22%7D)&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,209,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,132,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,209,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=probe_duration_seconds%20and%20probe_success%20%3D%3D%201&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,288,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,128,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,288,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=sum_over_time(probe_success%5B5s%5D)&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,87,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,115,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,87,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=sum_over_time(probe_success%7Btarget%3D~%22()%22%7D%5B5s%5D)&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,87,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,134,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,87,0
162.55.33.98,26/Apr/2021:21:20:17 +0000,GET,/api/datasources/proxy/1/api/v1/query_range?query=probe_duration_seconds%7Btarget%3D~%22()%22%7D%20and%20probe_success%7Btarget%3D~%22()%22%7D%20%3D%3D%201&start=1619471700&end=1619472000&step=30,HTTP/2.0,200,288,https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36,167,monitoring-monitoring-prometheus-grafana-80,192.168.226.102,3000,288,0
